NSC	CAS	Generic Name	Preffered Name	Projects	Primary Target
710464	468719-53-1		AFP-464	Investigational 	DNA damaging
14229	69-05-6	quinacrine hydrochloride	mepacrine	Investigational 	DNA intercalator
82151	23541-50-6	daunorubicin	NDC-0082-4155	Approved 	DNA intercalator
123127	25316-40-9	doxorubicin		Approved 	DNA intercalator
246131	56124-62-0	valrubicin	AD-32	Approved 	DNA intercalator
678515	69123-94-0		FAU	Investigational 	DNA intercalator
102816	320-67-2	azacitidine	U-18496	Approved 	DNA methyltransferase
127716	2353-33-5	decitabine	E-7373	Approved 	DNA methyltransferase
783333	1020149-73-8		SGI-1027	Investigational 	DNA methyltransferase
783334	48208-26-0		RG-108	Investigational 	DNA methyltransferase
783360	91908-88-2		IM-25	Investigational 	DNA methyltransferase
785657	865838-26-2		RX-3117	Investigational 	DNA methyltransferase
63878	69-74-9	cytarabine hydrochloride	U-19920A	Approved 	DNA polymerase
606869	123318-82-1	clofarabine		Approved 	DNA polymerase
791785	151823-14-2	sapacitabine	CS-682	Investigational 	DNA polymerase
793679	135598-68-4		TAS-109	Investigational 	DNA polymerase
125066	9041-93-4	bleomycin		Approved 	DNA strand breaker
613327	122111-03-9	gemcitabine	LY-188011	Approved 	DNA synthesis
792969	1476074-39-1		VX-984	Investigational 	DNA-PK
778365	1380288-87-8		EPZ-5676	Investigational 	DOT1L
780043	1338466-77-5		EPZ-004777	Investigational 	DOT1L
715055	184475-35-2	gefitinib	ZD-1839	Approved 	EGFR
718781	183319-69-9	erlotinib	OSI-774	Approved 	EGFR
745750	231277-92-2	lapatinib	GW-572016	Approved 	EGFR
750691	439081-18-2	afatinib	BIBW-2992	Approved 	EGFR
755927	1213269-23-8		WZ-4002	Investigational 	EGFR
757439	698387-09-6	neratinib	PF-0528767	Investigational 	EGFR
758005	848942-61-0	sapitinib	AZD-8931	Investigational 	EGFR
760765	859853-30-8		BMS-690514	Investigational 	EGFR
764135	714971-09-2		BMS-599626	Investigational 	EGFR
764823	845272-21-1	varlitinib	ARRY-543	Investigational 	EGFR
765888	1110813-31-4	dacomitinib	PF-299804	Investigational 	EGFR
765949	497839-62-0		AEE-788	Investigational 	EGFR
776762	781613-23-8	tesevatinib	XL-647	Investigational 	EGFR
779217	1421373-65-0	osimertinib	AZD-9291	Approved 	EGFR
779405	1374640-70-6	rociletinib	CO-1686	Investigational 	EGFR
780019	289499-45-2	canertinib	PD-183805	Investigational 	EGFR
787027	1508250-71-2		EGF-816	Investigational 	EGFR
788121	1626387-80-1		AZD-3759	Investigational 	EGFR
788365	1776112-90-3		PF-06747775	Investigational 	EGFR
792848	no cas	olmutinib	BI-1482694	Investigational 	EGFR
793322	1448232-80-1	naquotinib	ASP-8273	Investigational	EGFR
764581	937263-43-9		ARRY-380	Investigational 	erbB2
780042	383432-38-0		CP-724714	Investigational 	erbB2
765436	1037184-44-3		YK-4-279	Investigational 	ERG
775636	942183-80-4		SCH-772984	Investigational 	ERK
781343	1453848-26-4		GDC-0994	Investigational 	ERK
797771	869886-67-9	ulixertinib	BVD-523	Investigational 	ERK
777109	1403254-99-8	tazemetostat	E-7438	Investigational 	EZH2
780041	1346574-57-9		GSK-126	Investigational 	EZH2
782310	1450655-76-1		CPI-169	Investigational 	EZH2
783332	1396772-26-1		EPZ-5687	Investigational 	EZH2
793430	1621862-70-1		CPI-1205	Investigational 	EZH2
782579	871266-63-6		PCI-27483	Investigational 	Factor VIIa
754356	717907-75-0		PF-562271	Investigational 	FAK
778364	1073160-26-5	defactinib hydrochloride	PF-04554878	Investigational 	FAK
782549	1073154-85-4	defactinib	PF-04554878	Investigational 	FAK
783102	1061353-68-1		VS-4718	Investigational 	FAK
787252	761437-28-9		TAE-226	Investigational 	FAK
760444	192185-72-1	tipifarnib	R-115777	Investigational 	Farnesyltransferase
764755	17397-89-6	cerulenin		Investigational 	FASN
764756	218137-86-1		C-75	Investigational 	FASN
782125	1579514-16-1		JNJ-54302833	Investigational 	FASN
792955	1332331-21-1		GSK-2194069	Investigational 	FASN
754361	1036991-21-5		Astex FGF inhibitor	Investigational 	FGFR
763929	252916-29-3	orantinib	SU-6668	Investigational 	FGFR
764239	1035270-39-3		AZD-4547	Investigational 	FGFR
764487	872511-34-7	infrigatinib	BGJ-398	Investigational 	FGFR
766908	219580-11-7		PD-173074	Investigational 	FGFR
771750	1254473-64-7		LY-2874455	Investigational 	FGFR
781556	1346242-81-6		JNJ-42756493	Investigational 	FGFR
782363	1265229-25-1		CH-5183284	Investigational 	FGFR
785300	1538604-68-0		BLU-9931	Investigational 	FGFR
790182	1612888-66-0	alofanib	RPT-835	Investigational 	FGFR
793677	1453208-66-6		ASP-5878	Investigational 	FGFR
795718	1707289-21-1		BLU-554	Investigational	FGFR
797937	1308672-74-3	sulfatinib	HMPL-012	Investigational	FGFR
756647	950769-58-1	quizartinib	AC-220	Investigational 	Flt3
759661	405169-16-6	dovitinib	CHIR-258	Investigational 	Flt3
760841	387867-13-2	tandutinib	MLN-518	Investigational 	Flt3
761879	1253836-17-7		ITRI-260	Investigational 	Flt3
767897	1327167-19-0		BPR1J-097	Investigational 	Flt3
771651	885610-66-2		VX-322	Investigational 	Flt3
772196	111358-88-4	lestaurtinib	CEP-701	Investigational 	Flt3
787846	1254053-43-4	gilteritinib	ASP-2215	Investigational 	Flt3
142784	2226-96-2	tempol	OT-674	Investigational 	free-radical scavenger
788948	4105-38-8	uridine triacetate	RG-2133	Approved 	FU Antidote
754348	865773-15-5		PF-03084014 diastereomer 1	Investigational 	Gamma secretase
755926	865773-15-5		PF-03084014 diastereomer 2	Investigational 	Gamma secretase
755982	425386-60-3	semagacestat	LY-450139	Investigational 	Gamma secretase
756650	847925-91-1		RG-4733	Investigational 	Gamma secretase
761217	1146699-66-2	avagacestat	BMS-708163	Investigational 	Gamma secretase
762672	290315-45-6		BMS-299897	Investigational 	Gamma secretase
762829	471905-41-6		MK-0752	Investigational 	Gamma secretase
780812	1401066-79-2		BMS-906024	Investigational 	Gamma secretase
785222	1584713-87-0		BMS-983970	Investigational 	Gamma secretase
767745	446022-33-9	pelitrexol	AG-2037	Investigational 	GARTF
772290	no cas		Pelitrexol isomer A	Investigational 	GARTF
772291	no cas		Pelitrexol isomer B	Investigational 	GARTF
793149	1799753-84-6		BAY-876	Investigational 	GLUT1
783415	1439399-58-2		CB-839	Investigational 	Glutaminase
798303	314045-39-1		BPTES	Investigational	Glutaminase
761690	186392-40-5		CP-91149	Investigational 	Glycogen phosphorylase
764238	667463-85-6	6-bromoindirubin-3'-acetoxime	BIA	Investigational 	GSK-3
772198	603288-22-8		LY-2090314	Investigational 	GSK-3
774901	486424-20-8		AZD-2858	Investigational 	GSK-3
797769	1042735-18-1		ABC-1183	Investigational	GSK-3
758484	286942-97-0	ezatiostat	TLK-199	Investigational 	GSTP1
701852	149647-78-9	vorinostat	SAHA	Approved 	HDAC
754143	128517-07-7	depsipeptide	FK-228	Approved 	HDAC
756642	209783-80-2	entinostat	MS-275	Investigational 	HDAC
758249	929016-96-6	pracinostat	SB-939	Investigational 	HDAC
758774	414864-00-9	belinostat	PXD-101	Approved 	HDAC
759657	875320-29-9	quisinostat	JNJ-26481585	Investigational 	HDAC
759905	1186222-89-8		4SC-202	Investigational 	HDAC
760143	726169-73-9	mocetinostat	MG-0103	Investigational 	HDAC
761190	404950-80-7	panobinostat	LBH-589	Approved 	HDAC
762153	918332-89-5		ST-3595	Investigational 	HDAC
764136	783355-60-2	abexinostat	PCI-24781	Investigational 	HDAC
767952	1316214-52-4	rocilinostat	ACY-1215	Investigational 	HDAC
771751	1339928-25-4		CUDC-907	Investigational 	HDAC
773264	604769-01-9		JNJ-16241199	Investigational 	HDAC
797653	1206731-57-8		WT-161	Investigational	HDAC
62343	1113-59-3		3-bromopyruvic acid	Investigational 	Hexokinase II
756879	170632-47-0	lificiguat	YC-1	Investigational 	HIF-1 alpha
781016	1227158-85-1		BAY-87-2243	Investigational 	HIF-1 alpha
787312	1672665-49-4		PT-2385	Investigational 	HIF-2 alpha
764517	1255580-76-7		UNC-0638	Investigational 	Histone-lysine methyl transferase
777571	935693-62-2		BIX-01294	Investigational 	Histone-lysine methyl transferase
777671	1374601-40-7		BRD-4770	Investigational 	Histone-lysine methyl transferase
330507	75747-14-7	tanespimycin	17-AAG	Investigational 	Hsp90
707545	467214-21-7	alvespimycin	17-DMAG	Investigational 	Hsp90
755762	747412-49-3	luminespib	AUY-922	Investigational 	Hsp90
761194	1061318-81-7		CUDC-305	Investigational 	Hsp90
763579	912999-49-6	onalespib	AT-13387	Investigational 	Hsp90
765395	958025-66-6		MPC-3100	Investigational 	Hsp90
765435	888216-25-9	ganetespib	STA-9090	Investigational 	Hsp90
768509	908115-27-5		PF-04929113	Investigational 	Hsp90
772351	1149705-71-4		XL-888	Investigational 	Hsp90
772885	1207961-33-8		PF-4942847	Investigational 	Hsp90
773265	848695-25-0		CNF-2024	Investigational 	Hsp90
780204	1260533-36-5		TAS-116	Investigational 	Hsp90
797393	66522-52-9		AT-265	Investigational	Hsp90
754359	934963-58-3		AEG-40730	Investigational 	IAP
764757	1071992-99-8		AT-406	Investigational 	IAP
